iter	Passed	Remaining
0	133	133727
1	134	67050
2	134	44838
3	135	33736
4	136	27085
5	138	22925
6	140	19878
7	141	17556
8	142	15698
9	143	14206
10	144	12997
11	145	11995
12	146	11129
13	147	10389
14	148	9745
15	149	9170
16	149	8669
17	150	8232
18	151	7845
19	152	7491
20	153	7161
21	154	6858
22	154	6581
23	155	6326
24	156	6090
25	156	5870
26	157	5673
27	157	5484
28	158	5307
29	159	5145
30	159	4990
31	160	4845
32	160	4708
33	161	4580
34	161	4458
35	162	4345
36	162	4239
37	163	4136
38	163	4039
39	164	3947
40	164	3857
41	165	3778
42	166	3703
43	167	3635
44	167	3564
45	168	3494
46	169	3427
47	169	3363
48	170	3301
49	170	3244
50	171	3188
51	171	3135
52	172	3083
53	173	3033
54	173	2984
55	174	2937
56	174	2891
57	175	2846
58	175	2804
59	176	2762
60	176	2721
61	177	2683
62	177	2645
63	178	2609
64	178	2573
65	179	2539
66	179	2505
67	180	2478
68	181	2450
69	182	2422
70	182	2392
71	183	2363
72	183	2335
73	184	2307
74	184	2280
75	185	2254
76	185	2228
77	186	2203
78	186	2178
79	187	2154
80	187	2131
81	188	2109
82	188	2084
83	189	2064
84	189	2044
85	190	2023
86	190	2003
87	191	1984
88	191	1965
89	192	1946
90	193	1927
91	193	1909
92	194	1892
93	194	1875
94	195	1859
95	195	1845
96	196	1832
97	197	1817
98	198	1802
99	198	1788
100	199	1775
101	200	1761
102	200	1748
103	201	1733
104	201	1720
105	202	1707
106	202	1694
107	203	1680
108	204	1667
109	204	1655
110	205	1642
111	205	1629
112	206	1617
113	206	1605
114	207	1594
115	207	1583
116	208	1571
117	208	1560
118	209	1549
119	209	1538
120	210	1528
121	211	1519
122	211	1510
123	212	1500
124	213	1491
125	213	1482
126	215	1481
127	216	1471
128	216	1462
129	217	1452
130	217	1443
131	218	1434
132	218	1425
133	219	1416
134	219	1407
135	220	1398
136	220	1389
137	221	1381
138	221	1372
139	222	1364
140	222	1356
141	222	1347
142	223	1339
143	224	1331
144	224	1324
145	225	1316
146	225	1309
147	226	1303
148	227	1297
149	228	1292
150	228	1286
151	229	1280
152	230	1273
153	230	1268
154	231	1261
155	231	1254
156	232	1248
157	233	1242
158	233	1235
159	234	1229
160	234	1222
161	235	1216
162	235	1210
163	236	1204
164	236	1198
165	237	1192
166	237	1186
167	238	1181
168	239	1176
169	239	1170
170	240	1164
171	241	1160
172	241	1156
173	242	1151
174	243	1146
175	243	1141
176	244	1136
177	245	1131
178	245	1126
179	246	1121
180	246	1116
181	247	1111
182	247	1107
183	248	1102
184	249	1098
185	249	1093
186	250	1089
187	251	1085
188	251	1080
189	252	1076
190	253	1072
191	253	1067
192	254	1063
193	254	1058
194	255	1055
195	256	1052
196	257	1048
197	258	1045
198	258	1041
199	259	1038
200	260	1035
201	261	1031
202	261	1027
203	262	1023
204	262	1019
205	263	1015
206	263	1010
207	264	1006
208	264	1002
209	265	998
210	266	994
211	266	990
212	267	986
213	267	982
214	268	979
215	268	975
216	269	971
217	269	967
218	270	963
219	270	960
220	271	957
221	272	955
222	273	952
223	274	950
224	274	947
225	275	943
226	276	940
227	276	936
228	277	933
229	277	929
230	278	926
231	278	922
232	279	919
233	279	915
234	280	912
235	280	909
236	281	905
237	281	902
238	282	899
239	282	895
240	283	892
241	284	889
242	284	886
243	285	883
244	285	880
245	286	878
246	287	875
247	288	873
248	288	871
249	289	868
250	290	865
251	290	862
252	291	859
253	291	856
254	292	853
255	292	850
256	293	847
257	293	845
258	294	842
259	294	839
260	295	836
261	295	833
262	296	830
263	296	827
264	297	825
265	298	823
266	299	821
267	299	818
268	300	816
269	301	815
270	302	814
271	303	813
272	304	811
273	305	809
274	305	806
275	306	804
276	307	801
277	307	799
278	308	796
279	308	794
280	309	791
281	309	789
282	310	786
283	311	784
284	311	781
285	312	779
286	312	776
287	313	774
288	313	771
289	314	769
290	314	766
291	315	764
292	315	762
293	316	760
294	317	758
295	318	756
296	318	754
297	319	752
298	319	749
299	320	747
300	320	745
301	321	743
302	322	740
303	322	738
304	323	736
305	323	733
306	324	731
307	324	729
308	325	727
309	325	725
310	326	723
311	327	721
312	327	718
313	328	716
314	328	714
315	329	712
316	329	710
317	330	708
318	330	706
319	331	704
320	332	702
321	332	701
322	333	699
323	334	697
324	334	695
325	335	693
326	335	691
327	336	689
328	336	686
329	337	684
330	337	682
331	338	680
332	338	678
333	339	677
334	340	675
335	340	673
336	341	671
337	341	669
338	342	667
339	342	665
340	343	663
341	343	661
342	344	659
343	344	657
344	345	655
345	345	653
346	346	652
347	347	650
348	348	649
349	348	648
350	349	646
351	350	644
352	350	642
353	351	640
354	351	639
355	352	637
356	353	636
357	353	634
358	354	632
359	354	630
360	355	629
361	355	627
362	356	625
363	356	623
364	357	621
365	357	620
366	358	618
367	359	616
368	359	614
369	360	613
370	360	611
371	361	609
372	362	608
373	362	607
374	363	605
375	364	604
376	365	603
377	365	601
378	366	600
379	366	598
380	367	597
381	368	595
382	368	593
383	369	592
384	369	590
385	370	588
386	370	587
387	371	585
388	371	584
389	372	582
390	372	580
391	373	579
392	373	577
393	374	575
394	374	574
395	375	572
396	376	571
397	376	569
398	377	568
399	378	567
400	378	565
401	379	564
402	380	563
403	380	561
404	381	560
405	382	559
406	383	558
407	383	556
408	384	555
409	384	553
410	385	552
411	385	550
412	386	549
413	386	547
414	387	546
415	387	544
416	388	542
417	388	541
418	389	540
419	390	538
420	390	537
421	391	535
422	392	534
423	392	533
424	393	532
425	394	531
426	394	530
427	395	528
428	396	527
429	396	525
430	397	524
431	397	522
432	398	521
433	398	520
434	399	518
435	399	517
436	400	515
437	400	514
438	401	512
439	401	511
440	402	510
441	402	508
442	403	507
443	404	506
444	404	504
445	405	503
446	405	501
447	406	500
448	406	499
449	407	498
450	408	497
451	409	496
452	409	494
453	410	494
454	411	493
455	412	491
456	412	490
457	413	489
458	413	487
459	414	486
460	414	484
461	415	483
462	415	482
463	416	481
464	417	479
465	417	478
466	418	477
467	418	475
468	419	474
469	419	473
470	420	471
471	420	470
472	421	469
473	421	468
474	422	467
475	423	465
476	424	464
477	424	463
478	425	463
479	426	461
480	426	460
481	427	459
482	428	458
483	428	456
484	429	455
485	429	454
486	430	453
487	430	451
