iter	Passed	Remaining
0	1	135
1	2	131
2	3	116
3	4	102
4	5	98
5	6	98
6	7	99
7	8	100
8	9	98
9	10	98
10	11	96
11	13	100
12	15	103
13	16	102
14	17	100
15	18	96
16	19	94
17	20	92
18	21	90
19	22	88
20	22	85
21	23	83
22	24	82
23	25	80
24	26	80
25	27	79
26	28	78
27	29	76
28	30	74
29	31	73
30	32	72
31	33	70
32	34	69
33	35	68
34	36	67
35	36	65
36	37	64
37	38	63
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	45	53
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	69	31
69	70	30
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	88	9
90	89	8
91	90	7
92	92	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	98	0
